city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
Hà Nội,16,15.74,80,1025,2.48,100,mây đen u ám,2025-11-19 18:59:57.815274,2025-11-19
Hải Phòng,14.95,14.15,63,1025,2.06,0,bầu trời quang đãng,2025-11-19 18:59:59.157146,2025-11-19
Đà Nẵng,20.99,21.31,83,1020,7.2,75,mây cụm,2025-11-19 18:59:59.829862,2025-11-19
Cần Thơ,25.99,25.99,100,1010,2.57,75,mây cụm,2025-11-19 19:00:00.470495,2025-11-19
An Giang,24.24,25.15,93,1010,5.3,89,mưa nhẹ,2025-11-19 19:00:01.095547,2025-11-19
Bạc Liêu,25.7,26.62,88,1010,7.21,100,mây đen u ám,2025-11-19 19:00:02.526588,2025-11-19
Bắc Kạn,13.88,13.7,91,1026,0.5,100,mây đen u ám,2025-11-19 19:00:03.158300,2025-11-19
Bắc Giang,15.69,15.3,76,1025,2.53,100,mây đen u ám,2025-11-19 19:00:03.798847,2025-11-19
Bắc Ninh,16.05,15.77,79,1025,2.68,100,mây đen u ám,2025-11-19 19:00:04.426128,2025-11-19
Bến Tre,24.5,25.36,90,1010,3.77,58,mây cụm,2025-11-19 19:00:05.053729,2025-11-19
Bình Dương,22.31,23.08,95,1016,8.37,100,mưa nhẹ,2025-11-19 19:00:05.720743,2025-11-19
Bình Định,20.84,21.3,89,1022,1.89,100,mây đen u ám,2025-11-19 19:00:06.345996,2025-11-19
Cà Mau,24.67,25.62,93,1010,4.09,100,mây đen u ám,2025-11-19 19:00:08.501568,2025-11-19
Cao Bằng,14.14,13.72,81,1026,0.66,100,mây đen u ám,2025-11-19 19:00:09.200764,2025-11-19
Gia Lai,20.39,20.55,79,1014,4.56,100,mưa nhẹ,2025-11-19 19:00:13.595469,2025-11-19
Hà Giang,14.44,14.19,86,1026,0.28,96,mây đen u ám,2025-11-19 19:00:14.235891,2025-11-19
Hà Nam,21.06,21.26,78,1021,5.14,75,mây cụm,2025-11-19 19:00:14.860652,2025-11-19
Hà Tĩnh,14.58,14.26,83,1025,3.47,100,mây đen u ám,2025-11-19 19:00:15.532583,2025-11-19
Hòa Bình,14.54,14.43,91,1026,1.14,100,mây đen u ám,2025-11-19 19:00:17.627050,2025-11-19
Hưng Yên,15.02,14.64,79,1025,3.38,100,mưa nhẹ,2025-11-19 19:00:18.265625,2025-11-19
Khánh Hòa,24.54,25.32,87,1010,6.32,79,mây cụm,2025-11-19 19:00:18.892442,2025-11-19
Kon Tum,19.14,19.07,75,1016,3.57,100,mây đen u ám,2025-11-19 19:00:20.313827,2025-11-19
Lai Châu,9.58,8.86,87,1024,1.82,86,mây đen u ám,2025-11-19 19:00:20.937178,2025-11-19
Lạng Sơn,10.9,10.24,84,1026,1.82,100,mây đen u ám,2025-11-19 19:00:22.392512,2025-11-19
Lào Cai,13.77,13.6,92,1026,0.62,47,mây rải rác,2025-11-19 19:00:23.006036,2025-11-19
Long An,24.77,25.6,88,1010,3.96,92,mây đen u ám,2025-11-19 19:00:23.611372,2025-11-19
Nam Định,14.88,14.41,76,1025,5.12,100,mưa vừa,2025-11-19 19:00:24.252063,2025-11-19
Ninh Bình,14.71,14.35,81,1025,4.2,100,mưa vừa,2025-11-19 19:00:25.672609,2025-11-19
Phú Thọ,23.73,24.67,96,1012,4.61,100,mây đen u ám,2025-11-19 19:00:27.063148,2025-11-19
Quảng Ngãi,20.18,20.76,96,1019,5.32,100,mây đen u ám,2025-11-19 19:00:30.063719,2025-11-19
Quảng Trị,19.74,20.02,86,1022,5.56,100,mây đen u ám,2025-11-19 19:00:31.473921,2025-11-19
Sóc Trăng,25.04,26,92,1010,5.3,96,mây đen u ám,2025-11-19 19:00:32.095621,2025-11-19
Sơn La,11.47,11.13,94,1025,1.06,97,mưa nhẹ,2025-11-19 19:00:32.783131,2025-11-19
Tây Ninh,-0.51,-3.53,30,1031,2.41,78,tuyết rơi nhẹ,2025-11-19 19:00:33.418410,2025-11-19
Thái Bình,14.47,13.88,73,1025,5.11,100,mưa nhẹ,2025-11-19 19:00:34.064716,2025-11-19
Thái Nguyên,2.92,0.95,44,1029,2,0,bầu trời quang đãng,2025-11-19 19:00:34.689825,2025-11-19
Thanh Hóa,14.54,14.14,80,1025,2.31,100,mây đen u ám,2025-11-19 19:00:35.360714,2025-11-19
Trà Vinh,25.1,26.07,92,1010,5.45,92,mây đen u ám,2025-11-19 19:00:37.610455,2025-11-19
Tuyên Quang,14.96,14.73,85,1026,0.67,98,mây đen u ám,2025-11-19 19:00:38.259962,2025-11-19
Vĩnh Long,25.31,26.25,90,1010,5.77,97,mây đen u ám,2025-11-19 19:00:38.845635,2025-11-19
Vĩnh Phúc,13.26,12.83,84,1025,3.2,100,mây đen u ám,2025-11-19 19:00:39.571526,2025-11-19
Yên Bái,15.6,15.41,84,1026,0.25,100,mây đen u ám,2025-11-19 19:00:40.205132,2025-11-19
