city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
Hà Nội,16,15.77,81,1026,2.4,100,mây đen u ám,2025-11-19 19:54:12.624783,2025-11-19
Hải Phòng,14.95,14.25,67,1025,1.03,0,bầu trời quang đãng,2025-11-19 19:54:14.032036,2025-11-19
Đà Nẵng,19.99,20.34,88,1021,8.75,75,mây cụm,2025-11-19 19:54:14.677271,2025-11-19
Cần Thơ,23.99,25.06,100,1011,1.54,75,giông bão và Mưa,2025-11-19 19:54:15.299377,2025-11-19
An Giang,24.3,25.14,90,1012,4.64,100,mây đen u ám,2025-11-19 19:54:15.923568,2025-11-19
Bạc Liêu,25.66,26.61,89,1011,7.52,95,mây đen u ám,2025-11-19 19:54:17.177519,2025-11-19
Bắc Kạn,13.66,13.43,90,1026,0.59,100,mây đen u ám,2025-11-19 19:54:17.863713,2025-11-19
Bắc Giang,15.29,14.86,76,1026,2.85,100,mây đen u ám,2025-11-19 19:54:18.524520,2025-11-19
Bắc Ninh,16.05,15.8,80,1026,2.95,100,mây đen u ám,2025-11-19 19:54:19.179982,2025-11-19
Bến Tre,24.23,25.08,91,1011,2.47,99,mây đen u ám,2025-11-19 19:54:19.803749,2025-11-19
Bình Dương,22.28,23.07,96,1017,7.34,100,mưa vừa,2025-11-19 19:54:20.531554,2025-11-19
Bình Định,19.84,20.2,89,1022,1.67,100,mưa nhẹ,2025-11-19 19:54:21.267134,2025-11-19
Cà Mau,24.57,25.54,94,1011,3.84,100,mưa nhẹ,2025-11-19 19:54:23.263742,2025-11-19
Cao Bằng,14.05,13.63,81,1026,0.16,93,mây đen u ám,2025-11-19 19:54:23.911966,2025-11-19
Gia Lai,19.97,20.03,77,1015,4.39,100,mây đen u ám,2025-11-19 19:54:28.340491,2025-11-19
Hà Giang,14.5,14.25,86,1026,0.48,100,mây đen u ám,2025-11-19 19:54:28.958206,2025-11-19
Hà Nam,20.06,20.29,83,1022,4.12,75,mây cụm,2025-11-19 19:54:29.630653,2025-11-19
Hà Tĩnh,14.72,14.39,82,1025,3.4,100,mây đen u ám,2025-11-19 19:54:30.274195,2025-11-19
Hòa Bình,14.21,14.06,91,1026,1.16,93,mây đen u ám,2025-11-19 19:54:32.197850,2025-11-19
Hưng Yên,14.92,14.53,79,1025,3.19,100,mây đen u ám,2025-11-19 19:54:32.841826,2025-11-19
Khánh Hòa,24.29,25.05,87,1012,6.08,100,mưa nhẹ,2025-11-19 19:54:33.494588,2025-11-19
Kon Tum,18.95,18.89,76,1017,3.52,100,mây đen u ám,2025-11-19 19:54:34.798561,2025-11-19
Lai Châu,8.8,7.97,89,1025,1.8,93,mây đen u ám,2025-11-19 19:54:35.548256,2025-11-19
Lạng Sơn,10.93,10.27,84,1027,1.98,98,mây đen u ám,2025-11-19 19:54:37.068320,2025-11-19
Lào Cai,13.71,13.54,92,1027,0.39,84,mây cụm,2025-11-19 19:54:37.779286,2025-11-19
Long An,24.25,25.05,89,1011,3.19,96,mây đen u ám,2025-11-19 19:54:38.446038,2025-11-19
Nam Định,14.88,14.43,77,1025,4.59,100,mây đen u ám,2025-11-19 19:54:39.138054,2025-11-19
Ninh Bình,14.62,14.3,83,1026,3.38,100,mây đen u ám,2025-11-19 19:54:40.592937,2025-11-19
Phú Thọ,23.75,24.69,96,1013,5.92,100,mây đen u ám,2025-11-19 19:54:42.048500,2025-11-19
Quảng Ngãi,20.33,20.93,96,1020,5.29,100,mây đen u ám,2025-11-19 19:54:45.148934,2025-11-19
Quảng Trị,19.82,20.08,85,1022,5.35,100,mưa nhẹ,2025-11-19 19:54:46.618396,2025-11-19
Sóc Trăng,25.04,26.03,93,1011,5.31,100,mây đen u ám,2025-11-19 19:54:47.273667,2025-11-19
Sơn La,11.36,11.01,94,1025,0.98,100,mây đen u ám,2025-11-19 19:54:47.953796,2025-11-19
Tây Ninh,-1.15,-3.5,30,1032,1.78,100,mây đen u ám,2025-11-19 19:54:48.589697,2025-11-19
Thái Bình,14.57,13.99,73,1025,4.39,100,mây đen u ám,2025-11-19 19:54:49.233043,2025-11-19
Thái Nguyên,1.92,-0.22,48,1029,2,0,bầu trời quang đãng,2025-11-19 19:54:49.935449,2025-11-19
Thanh Hóa,14.56,14.21,82,1026,2.04,100,mưa nhẹ,2025-11-19 19:54:50.567437,2025-11-19
Trà Vinh,25.13,26.07,91,1011,5.17,97,mây đen u ám,2025-11-19 19:54:52.599049,2025-11-19
Tuyên Quang,14.88,14.64,85,1026,0.71,100,mây đen u ám,2025-11-19 19:54:53.254408,2025-11-19
Vĩnh Long,24.74,25.7,93,1011,3.74,93,mây đen u ám,2025-11-19 19:54:53.901124,2025-11-19
Vĩnh Phúc,13.2,12.74,83,1026,2.78,98,mây đen u ám,2025-11-19 19:54:54.540680,2025-11-19
Yên Bái,14.9,14.72,87,1026,0.46,91,mây đen u ám,2025-11-19 19:54:55.190099,2025-11-19
