city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
Hà Nội,16,15.72,79,1025,2.48,100,mây đen u ám,2025-11-19 19:17:54.977618,2025-11-19
Hải Phòng,14.95,14.25,67,1024,1.54,0,mưa nhẹ,2025-11-19 19:17:56.358116,2025-11-19
Đà Nẵng,20.99,21.31,83,1020,7.72,75,mây cụm,2025-11-19 19:17:57.201020,2025-11-19
Cần Thơ,24.99,26.16,100,1010,5.14,75,mây cụm,2025-11-19 19:17:57.838948,2025-11-19
An Giang,24.32,25.26,94,1010,5.3,89,mưa cường độ nặng,2025-11-19 19:17:58.525590,2025-11-19
Bạc Liêu,25.72,26.67,89,1010,7.21,100,mây đen u ám,2025-11-19 19:18:00.059948,2025-11-19
Bắc Kạn,13.88,13.7,91,1026,0.5,100,mây đen u ám,2025-11-19 19:18:00.706292,2025-11-19
Bắc Giang,15.68,15.24,74,1025,2.53,100,mưa nhẹ,2025-11-19 19:18:01.374590,2025-11-19
Bắc Ninh,16.05,15.75,78,1025,2.68,100,mây đen u ám,2025-11-19 19:18:02.027370,2025-11-19
Bến Tre,24.61,25.42,88,1010,3.77,58,mây cụm,2025-11-19 19:18:02.644096,2025-11-19
Bình Dương,22.3,23.07,95,1016,8.37,100,mưa vừa,2025-11-19 19:18:03.259400,2025-11-19
Bình Định,19.84,20.1,85,1021,1.89,100,mây đen u ám,2025-11-19 19:18:03.895914,2025-11-19
Cà Mau,24.69,25.64,93,1010,4.09,100,mây đen u ám,2025-11-19 19:18:05.816770,2025-11-19
Cao Bằng,14.13,13.71,81,1026,0.66,100,mây đen u ám,2025-11-19 19:18:06.508694,2025-11-19
Gia Lai,20.39,20.55,79,1014,4.56,100,mây đen u ám,2025-11-19 19:18:10.319103,2025-11-19
Hà Giang,14.44,14.19,86,1026,0.28,96,mây đen u ám,2025-11-19 19:18:10.965370,2025-11-19
Hà Nam,20.06,20.29,83,1021,5.66,75,mây cụm,2025-11-19 19:18:11.646420,2025-11-19
Hà Tĩnh,14.66,14.35,83,1025,3.47,100,mây đen u ám,2025-11-19 19:18:12.333153,2025-11-19
Hòa Bình,14.54,14.43,91,1026,1.14,100,mây đen u ám,2025-11-19 19:18:14.265403,2025-11-19
Hưng Yên,15.02,14.59,77,1025,3.38,100,mây đen u ám,2025-11-19 19:18:14.924224,2025-11-19
Khánh Hòa,24.62,25.44,88,1010,6.32,79,mưa nhẹ,2025-11-19 19:18:15.554483,2025-11-19
Kon Tum,19.13,19.06,75,1016,3.57,100,mây đen u ám,2025-11-19 19:18:16.844849,2025-11-19
Lai Châu,9.58,8.86,87,1024,1.82,86,mây đen u ám,2025-11-19 19:18:17.497873,2025-11-19
Lạng Sơn,10.93,10.27,84,1026,1.82,100,mây đen u ám,2025-11-19 19:18:18.876208,2025-11-19
Lào Cai,13.77,13.6,92,1026,0.62,47,mây rải rác,2025-11-19 19:18:19.577257,2025-11-19
Long An,24.86,25.65,86,1010,3.96,92,mưa vừa,2025-11-19 19:18:20.226910,2025-11-19
Nam Định,14.88,14.38,75,1025,5.12,100,mưa vừa,2025-11-19 19:18:20.898654,2025-11-19
Ninh Bình,14.71,14.33,80,1025,4.2,100,mưa nhẹ,2025-11-19 19:18:22.473929,2025-11-19
Phú Thọ,23.76,24.7,96,1012,4.61,100,mây đen u ám,2025-11-19 19:18:23.789621,2025-11-19
Quảng Ngãi,20.19,20.77,96,1019,5.32,100,mưa vừa,2025-11-19 19:18:26.495862,2025-11-19
Quảng Trị,19.77,20.02,85,1022,5.56,100,mây đen u ám,2025-11-19 19:18:27.762791,2025-11-19
Sóc Trăng,25.1,26.09,93,1010,5.3,96,mây đen u ám,2025-11-19 19:18:28.403321,2025-11-19
Sơn La,11.47,11.13,94,1025,1.06,97,mây đen u ám,2025-11-19 19:18:29.096087,2025-11-19
Tây Ninh,-0.51,-3.53,30,1031,2.41,78,tuyết rơi nhẹ,2025-11-19 19:18:29.800822,2025-11-19
Thái Bình,14.48,13.84,71,1025,5.11,100,mưa vừa,2025-11-19 19:18:30.450284,2025-11-19
Thái Nguyên,0.92,0.92,51,1029,1,0,bầu trời quang đãng,2025-11-19 19:18:31.080459,2025-11-19
Thanh Hóa,14.55,14.15,80,1025,2.31,100,mây đen u ám,2025-11-19 19:18:31.732663,2025-11-19
Trà Vinh,25.17,26.12,91,1010,5.45,92,mây đen u ám,2025-11-19 19:18:33.681349,2025-11-19
Tuyên Quang,14.96,14.73,85,1026,0.67,98,mây đen u ám,2025-11-19 19:18:34.361745,2025-11-19
Vĩnh Long,25.37,26.39,93,1010,5.77,97,mây đen u ám,2025-11-19 19:18:35.040331,2025-11-19
Vĩnh Phúc,13.38,12.97,84,1025,3.2,100,mây đen u ám,2025-11-19 19:18:35.690047,2025-11-19
Yên Bái,15.6,15.41,84,1026,0.25,100,mây đen u ám,2025-11-19 19:18:36.336848,2025-11-19
